Thu Mar  5 19:03:11 2020    profiler/prof/out_tmp.prof

         61533 function calls (61428 primitive calls) in 0.474 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.000    0.000    0.000    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\sympy\core\numbers.py:1085(_hashable_content)
        1    0.000    0.000    0.000    0.000 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\util.py:26(compress_init_box)
      176    0.000    0.000    0.000    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\tempfile.py:235(_get_candidate_names)
       42    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
       63    0.000    0.000    0.000    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
       76    0.000    0.000    0.000    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\mpmath\libmp\libmpf.py:537(mpf_eq)
       43    0.000    0.000    0.000    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\linalg\linalg.py:203(_assert_stacked_2d)
      220    0.000    0.000    0.000    0.000 C:\Users\Nathan\Desktop\Thesis\ppcm\reachability\scripts\model_hardcode.py:28(<genexpr>)
      129    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       86    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       84    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
       76    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       22    0.000    0.000    0.000    0.000 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\util.py:16(freeze_attrs)
       63    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       86    0.000    0.000    0.000    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
       21    0.000    0.000    0.000    0.000 C:\Users\Nathan\Desktop\Thesis\quickzonoreach\quickzonoreach\kamenev.py:57(<listcomp>)
